2014-11-14T12-16-59: LogOut_File: : logfile started
2014-11-14T12-16-59: Net Status: low-level initialize success.
2014-11-14T12-16-59: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-14T12-16-59: time = time of logging
2014-11-14T12-16-59: address = address of IP address
2014-11-14T12-16-59: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-14T12-16-59: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-14T12-16-59: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-14T12-16-59: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-14T12-16-59: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-14T12-16-59: sent = number of packets sent. Spikes can indicate lag.
2014-11-14T12-16-59: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-14T12-16-59: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-14T12-16-59: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-14T12-16-59: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-14T12-16-59: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-14T12-16-59: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-14T12-16-59: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1354,X.X.X.X,76,110,0,0,0,3,396,159,0,0,0,0
12473,X.X.X.X,8800,1163,7575,439,0,34,59,13,0,0,9,0
24311,X.X.X.X,9168,1453,0,30,0,55,57,7,0,0,9,0
34458,X.X.X.X,12174,2398,2010,575,0,73,57,7,0,0,10,0
44509,X.X.X.X,18022,3374,4200,600,1,92,57,7,0,0,10,0
54560,X.X.X.X,24594,4350,4740,600,1,110,57,7,0,0,10,0
64611,X.X.X.X,31416,5326,4920,600,1,128,57,7,0,0,10,0
74664,X.X.X.X,38112,6302,4830,600,1,146,57,7,0,0,10,0
84712,X.X.X.X,45504,7278,5370,600,1,164,57,7,0,0,10,0
94764,X.X.X.X,52912,8254,5370,600,1,182,57,7,0,0,10,0
104820,X.X.X.X,60282,9238,5340,600,1,200,57,5,0,0,10,0
114871,X.X.X.X,67548,10214,5280,600,1,218,57,5,0,0,10,0
124924,X.X.X.X,74918,11190,5340,600,1,236,57,4,0,0,10,0
135067,X.X.X.X,102852,12515,25777,537,1,256,57,4,0,0,21,0
145068,X.X.X.X,130978,14194,6639,101,1,278,57,4,0,0,23,0
155075,X.X.X.X,139866,15969,7436,669,1,297,57,4,0,0,23,0
165076,X.X.X.X,149983,18641,8225,1234,1,321,57,4,0,0,23,0
175078,X.X.X.X,155661,21632,4182,1849,1,352,57,4,0,0,23,0
185082,X.X.X.X,160527,25083,3068,2149,5,392,62,17,0,0,23,0
195084,X.X.X.X,167450,28684,5214,2269,5,428,57,6,0,0,23,0
205086,X.X.X.X,174019,32650,4560,2500,5,478,57,6,0,0,23,0
215090,X.X.X.X,178191,34385,2904,869,5,503,57,6,0,0,23,0
225091,X.X.X.X,182794,36000,3321,719,6,525,57,6,0,0,23,0
235092,X.X.X.X,195509,39916,10521,2308,6,561,57,5,0,0,23,0
245099,X.X.X.X,203349,43652,5819,2272,7,602,57,5,0,0,23,0
255102,X.X.X.X,216681,48391,10907,2877,7,655,57,5,0,0,23,0
265103,X.X.X.X,254432,53991,22237,1142,7,705,57,5,0,0,23,0
275105,X.X.X.X,298458,60977,40049,3308,7,740,57,6,0,0,24,0
285106,X.X.X.X,342703,68009,39834,3186,7,779,57,7,0,0,24,0
295108,X.X.X.X,385205,75563,37674,3710,7,834,57,6,0,0,24,0
305109,X.X.X.X,443423,83665,51528,3702,9,881,66,22,0,0,24,0
315118,X.X.X.X,491373,91108,43589,3649,9,928,57,7,0,0,24,0
325127,X.X.X.X,551840,99107,55456,3831,9,988,57,6,0,0,24,0
335129,X.X.X.X,605230,107097,48783,3736,11,1043,60,11,0,0,24,0
345131,X.X.X.X,653428,114862,43376,3669,11,1098,57,6,0,0,24,0
355141,X.X.X.X,722163,123096,63893,3826,11,1173,57,4,0,0,24,0
365142,X.X.X.X,780137,132102,52772,4452,11,1239,57,5,0,0,24,0
375151,X.X.X.X,833718,139934,48707,3744,11,1291,57,5,0,0,24,0
385156,X.X.X.X,891419,147649,26258,1702,11,1342,57,4,0,0,24,0
395157,X.X.X.X,929707,155553,33419,3910,11,1397,57,4,0,0,24,0
405159,X.X.X.X,968372,162184,34373,3047,11,1440,57,4,0,0,24,0
415172,X.X.X.X,1021539,168308,48628,2274,11,1459,57,4,0,0,24,0
425173,X.X.X.X,1062619,173125,37580,1513,11,1481,57,4,0,0,24,0
435174,X.X.X.X,1101819,178901,35257,2558,12,1521,57,4,0,0,24,0
445177,X.X.X.X,1154397,183997,48283,1738,12,1546,57,4,0,0,24,0
455184,X.X.X.X,1210788,190714,51944,2987,14,1588,57,4,0,0,24,0
465185,X.X.X.X,1250668,197862,35425,3558,15,1633,57,6,0,0,24,0
